evolution_method,mutation,crossover,batch_type,batch_offset_type,sub_gen_type,magic,magic_normalized,qsar,qsar_normalized,gass,gass_normalized,mnist,mnist_normalized
JDE,rand/1,bin,low,low,mid,0.715921,0.7821052,0.72875,0.725,0.7884441999999999,0.5798888000000001,0.6923600000000001,0.68686
JDE,rand/1,interm,low,low,mid,0.720263,0.7844736,0.73125,0.72875,0.8424446,0.7091109999999999,0.87208,0.8873
JDE,curr_p_best,bin,low,low,mid,0.7180264000000001,0.7838158000000001,0.76,0.74,0.9052222,0.733222,0.8724200000000001,0.8769399999999999
JDE,curr_p_best,interm,low,low,mid,0.7170396,0.7841448000000001,0.73875,0.73,0.9225556,0.7504441999999999,0.8567600000000001,0.8559
JDE,degl,bin,low,low,mid,0.7169736,0.7828946,0.76625,0.74875,0.8924446,0.767889,0.8113,0.79272
JDE,degl,interm,low,low,mid,0.719737,0.7813156,0.77875,0.7775,0.8561110000000001,0.7545556,0.76702,0.7632399999999999
JADE,rand/1,bin,low,low,mid,0.7191448,0.7836185999999999,0.74125,0.71,0.7904441999999999,0.5811111999999999,0.44956,0.47484
JADE,rand/1,interm,low,low,mid,0.7194738,0.7819078,0.74875,0.7425,0.7752220000000001,0.6697778,0.8704,0.87566
JADE,curr_p_best,bin,low,low,mid,0.7198684000000001,0.781579,0.72,0.73625,0.9435556,0.7676668000000001,0.82642,0.81066
JADE,curr_p_best,interm,low,low,mid,0.720658,0.7845396,0.7625,0.76375,0.9371112,0.7567775999999999,0.84978,0.8498
JADE,degl,bin,low,low,mid,0.713158,0.7815131999999999,0.76,0.76,0.928,0.7842224,0.6944600000000001,0.78094
JADE,degl,interm,low,low,mid,0.7142764,0.7553946,0.7375,0.7075,0.7465556,0.4424444,0.44388,0.44192
SHADE,rand/1,bin,low,low,mid,0.7160526,0.7848026,0.72,0.7325,0.7641111999999999,0.5753334,0.43244,0.76332
SHADE,rand/1,interm,low,low,mid,0.720066,0.781842,0.75375,0.75125,0.8025554,0.6582222,0.8716200000000001,0.87808
SHADE,curr_p_best,bin,low,low,mid,0.7164474000000001,0.78375,0.725,0.75875,0.9387778,0.745,0.81924,0.7982199999999999
SHADE,curr_p_best,interm,low,low,mid,0.7207894,0.7826976,0.73125,0.77625,0.9368888,0.7803332,0.84852,0.8406799999999999
SHADE,degl,bin,low,low,mid,0.7217106,0.7805918000000001,0.76625,0.7575,0.9343334,0.8051111999999999,0.70206,0.7761399999999999
SHADE,degl,interm,low,low,mid,0.70375,0.7533552,0.74125,0.6875,0.7372221999999999,0.4174442,0.4211,0.41406
L-SHADE,rand/1,bin,low,low,mid,0.7160524,0.7840792,0.71125,0.72875,0.7662222,0.5893331999999999,0.62124,0.7521399999999999
L-SHADE,rand/1,interm,low,low,mid,0.7175,0.7828288,0.76,0.74875,0.7691111999999999,0.6830002,0.8567600000000001,0.86936
L-SHADE,curr_p_best,bin,low,low,mid,0.7181578000000001,0.7805922,0.72625,0.71875,0.9444446,0.736889,0.7869,0.7783
L-SHADE,curr_p_best,interm,low,low,mid,0.7194078,0.7848682,0.76375,0.77,0.9334446,0.7694444,0.82834,0.82436
L-SHADE,degl,bin,low,low,mid,0.724342,0.7782238,0.765,0.775,0.9034446,0.7554444,0.66946,0.7558
L-SHADE,degl,interm,low,low,mid,0.7073028,0.7603288,0.77625,0.69375,0.726,0.4266666,0.45504,0.4184600000000001
JDE,rand/1,bin,low,low,low,0.7155922,0.7827634,0.72875,0.725,0.772778,0.5647778,0.66046,0.68602
JDE,rand/1,interm,low,low,low,0.7195396,0.783487,0.73125,0.72875,0.8085554,0.7165554,0.85198,0.89176
